,region,value
1,california,352
2,pennsylvania,185
3,indiana,165
4,ohio,142
5,new york,123
6,illinois,102
7,alabama,97
8,minnesota,95
9,florida,94
10,oklahoma,92
11,massachusetts,90
12,louisiana,83
13,kentucky,65
14,virginia,53
15,missouri,52
16,texas,49
17,iowa,47
18,maryland,47
19,wisconsin,46
20,georgia,45
21,michigan,35
22,tennessee,33
23,north carolina,32
24,rhode island,32
25,arkansas,30
26,new hampshire,29
27,new jersy,27
28,west virginia,15
29,connecticut,11
30,washington,11
31,maine,10
32,vermont,10
33,kansas,9
34,mississippi,9
35,oregon,7
36,alaska,6
37,nebraska,4
38,south carolina,4
39,wyoming,4
40,colorado,3
41,hawaii,3
42,montana,3
43,north dakota,3
44,delaware,1
